TITLE = "dcfoil mesh"
VARIABLES = "x", "y", "z"
ZONE T="LEADING EDGES"
DATAPACKING=POINT
-0.05000000 0.00000000 0.00000000
-0.05000000 0.01578947 0.00000000
-0.05000000 0.03157895 0.00000000
-0.05000000 0.04736842 0.00000000
-0.05000000 0.06315789 0.00000000
-0.05000000 0.07894737 0.00000000
-0.05000000 0.09473684 0.00000000
-0.05000000 0.11052632 0.00000000
-0.05000000 0.12631579 0.00000000
-0.05000000 0.14210526 0.00000000
-0.05000000 0.15789474 0.00000000
-0.05000000 0.17368421 0.00000000
-0.05000000 0.18947368 0.00000000
-0.05000000 0.20526316 0.00000000
-0.05000000 0.22105263 0.00000000
-0.05000000 0.23684211 0.00000000
-0.05000000 0.25263158 0.00000000
-0.05000000 0.26842105 0.00000000
-0.05000000 0.28421053 0.00000000
-0.05000000 0.30000000 0.00000000
ZONE T="TRAILING EDGES"
DATAPACKING=POINT
0.05000000 0.00000000 0.00000000
0.05000000 0.01578947 0.00000000
0.05000000 0.03157895 0.00000000
0.05000000 0.04736842 0.00000000
0.05000000 0.06315789 0.00000000
0.05000000 0.07894737 0.00000000
0.05000000 0.09473684 0.00000000
0.05000000 0.11052632 0.00000000
0.05000000 0.12631579 0.00000000
0.05000000 0.14210526 0.00000000
0.05000000 0.15789474 0.00000000
0.05000000 0.17368421 0.00000000
0.05000000 0.18947368 0.00000000
0.05000000 0.20526316 0.00000000
0.05000000 0.22105263 0.00000000
0.05000000 0.23684211 0.00000000
0.05000000 0.25263158 0.00000000
0.05000000 0.26842105 0.00000000
0.05000000 0.28421053 0.00000000
0.05000000 0.30000000 0.00000000
